"","country","date","cases","recovered","deaths","active_cases","day","month","y2019","y2020","flights"
"1","China",2020-01-22,548,28,17,503,22,1,2805,3121,0.898750400512656
"2","China",2020-01-23,643,30,18,595,23,1,2856,3042,0.938856015779093
"3","China",2020-01-24,920,36,26,858,24,1,2604,2931,0.888433981576254
"4","China",2020-01-25,1406,39,42,1325,25,1,2341,2826,0.828379334748761
"5","China",2020-01-26,2075,49,56,1970,26,1,2713,2841,0.954945441745864
"6","China",2020-01-27,2877,58,82,2737,27,1,2731,2721,1.00367511944138
"7","China",2020-01-28,5509,101,131,5277,28,1,2686,2723,0.98641204553801
"8","China",2020-01-29,6087,120,133,5834,29,1,2697,2734,0.98646671543526
"9","China",2020-01-30,8141,135,171,7835,30,1,2834,2654,1.06782215523738
"10","China",2020-01-31,9802,214,213,9375,31,1,2730,2443,1.11747851002865
"11","China",2020-02-01,11891,275,259,11357,1,2,2913,1984,1.46824596774194
"12","China",2020-02-02,16630,463,361,15806,2,2,2877,1775,1.62084507042254
"13","China",2020-02-03,19716,614,425,18677,3,2,2723,1510,1.80331125827815
"14","China",2020-02-04,23707,843,491,22373,4,2,2551,1332,1.91516516516517
"15","China",2020-02-05,27440,1115,563,25762,5,2,2643,1254,2.10765550239234
"16","China",2020-02-06,30587,1477,633,28477,6,2,2742,1140,2.40526315789474
"17","China",2020-02-07,34110,1999,718,31393,7,2,2583,1208,2.13824503311258
"18","China",2020-02-08,36814,2596,805,33413,8,2,2694,1088,2.47610294117647
"19","China",2020-02-09,39829,3219,905,35705,9,2,2639,1082,2.43900184842884
"20","China",2020-02-10,42354,3918,1012,37424,10,2,2248,858,2.62004662004662
"21","China",2020-02-11,44386,4636,1112,38638,11,2,2979,722,4.12603878116343
"22","China",2020-02-12,44759,5082,1117,38560,12,2,2691,738,3.64634146341463
"23","China",2020-02-13,59895,6217,1369,52309,13,2,2730,685,3.98540145985401
"24","China",2020-02-14,66358,7977,1521,56860,14,2,2702,702,3.84900284900285
"25","China",2020-02-15,68413,9298,1663,57452,15,2,2794,687,4.0669577874818
"26","China",2020-02-16,70513,10755,1766,57992,16,2,2656,704,3.77272727272727
"27","China",2020-02-17,72434,12462,1864,58108,17,2,2644,561,4.71301247771836
"28","China",2020-02-18,74211,14206,2003,58002,18,2,2612,536,4.87313432835821
"29","China",2020-02-19,74619,15962,2116,56541,19,2,2595,579,4.48186528497409
"30","China",2020-02-20,75077,18014,2238,54825,20,2,2724,573,4.75392670157068
"31","China",2020-02-21,75550,18704,2238,54608,21,2,2661,588,4.52551020408163
"32","China",2020-02-22,77001,22699,2443,51859,22,2,2749,500,5.498
"33","China",2020-02-23,77022,23187,2445,51390,23,2,2657,519,5.11946050096339
"34","China",2020-02-24,77241,25015,2595,49631,24,2,2635,480,5.48958333333333
"35","China",2020-02-25,77754,27676,2665,47413,25,2,2615,500,5.23
"36","China",2020-02-26,78166,30084,2717,45365,26,2,2630,536,4.90671641791045
"37","China",2020-02-27,78600,32930,2746,42924,27,2,2644,542,4.87822878228782
"38","China",2020-02-28,78928,36329,2790,39809,28,2,2548,616,4.13636363636364
"39","China",2020-02-29,79356,39320,2837,37199,NA,NA,NA,NA,NA
"40","China",2020-03-01,79932,42162,2872,34898,1,3,2718,601,4.52246256239601
"41","China",2020-03-02,80136,44854,2914,32368,2,3,2360,534,4.41947565543071
"42","China",2020-03-03,80261,47450,2947,29864,3,3,2351,539,4.36178107606679
"43","China",2020-03-04,80386,50001,2983,27402,4,3,2521,589,4.28013582342954
"44","China",2020-03-05,80537,52292,3015,25230,5,3,2632,552,4.76811594202899
"45","China",2020-03-06,80690,53944,3044,23702,6,3,2634,595,4.42689075630252
"46","China",2020-03-07,80770,55539,3072,22159,7,3,2598,537,4.83798882681564
"47","China",2020-03-08,80823,57388,3100,20335,8,3,2710,533,5.0844277673546
"48","China",2020-03-09,80860,58804,3123,18933,9,3,2508,553,4.53526220614828
"49","China",2020-03-10,80887,60181,3139,17567,10,3,2586,705,3.66808510638298
"50","China",2020-03-11,80921,61644,3161,16116,11,3,2546,654,3.89296636085627
"51","China",2020-03-12,80932,62901,3172,14859,12,3,2538,635,3.99685039370079
"52","China",2020-03-13,80945,64196,3180,13569,13,3,2624,691,3.79739507959479
"53","China",2020-03-14,80977,65660,3193,12124,14,3,2649,662,4.00151057401813
"54","China",2020-03-15,81003,67017,3203,10783,15,3,2703,678,3.98672566371681
"55","China",2020-03-16,81033,67910,3217,9906,16,3,2657,624,4.25801282051282
"56","China",2020-03-17,81058,68798,3230,9030,17,3,2660,650,4.09230769230769
"57","China",2020-03-18,81102,69755,3241,8106,18,3,2618,688,3.80523255813953
"58","China",2020-03-19,81156,70535,3249,7372,19,3,2626,673,3.90193164933135
"59","China",2020-03-20,81250,71266,3253,6731,20,3,2643,716,3.6913407821229
"60","China",2020-03-21,81305,71857,3259,6189,21,3,2628,638,4.11912225705329
"61","China",2020-03-22,81435,72362,3274,5799,22,3,2651,624,4.24839743589744
"62","China",2020-03-23,81498,72814,3274,5410,23,3,2609,625,4.1744
"63","China",2020-03-24,81591,73280,3281,5030,24,3,2656,615,4.31869918699187
"64","China",2020-03-25,81661,73773,3285,4603,25,3,2558,664,3.85240963855422
"65","China",2020-03-26,81782,74181,3291,4310,26,3,2638,645,4.08992248062015
"66","China",2020-03-27,81897,74720,3296,3881,27,3,2681,694,3.86311239193084
"67","China",2020-03-28,81999,75100,3299,3600,28,3,2609,685,3.80875912408759
"68","China",2020-03-29,82122,75582,3304,3236,29,3,2748,453,6.06622516556291
"69","China",2020-03-30,82198,75923,3308,2967,30,3,2521,442,5.70361990950226
"70","China",2020-03-31,82279,76206,3309,2764,31,3,2857,546,5.23260073260073
"71","China",2020-04-01,82361,76405,3316,2640,1,4,2799,564,4.96276595744681
"72","China",2020-04-02,82432,76565,3322,2545,2,4,2701,508,5.31692913385827
"73","China",2020-04-03,82511,76760,3326,2425,3,4,2816,545,5.16697247706422
"74","China",2020-04-04,82543,76946,3330,2267,4,4,2699,533,5.06378986866792
"75","China",2020-04-05,82602,77207,3333,2062,5,4,2752,485,5.67422680412371
"76","China",2020-04-06,82665,77310,3335,2020,6,4,2678,471,5.68577494692144
"77","China",2020-04-07,82718,77410,3335,1973,7,4,2697,547,4.93053016453382
"78","China",2020-04-08,82809,77567,3337,1905,8,4,2753,594,4.63468013468013
"79","China",2020-04-09,82883,77679,3339,1865,9,4,2803,554,5.05956678700361
"80","China",2020-04-10,82941,77791,3340,1810,10,4,2820,642,4.39252336448598
"81","China",2020-04-11,83014,77877,3343,1794,11,4,2777,601,4.62063227953411
"82","China",2020-04-12,83134,77956,3343,1835,12,4,2952,573,5.15183246073298
"83","China",2020-04-13,83213,78039,3345,1829,13,4,2713,512,5.298828125
"84","China",2020-04-14,83306,78200,3345,1761,14,4,2737,588,4.65476190476191
"85","China",2020-04-15,83356,78311,3346,1699,15,4,2749,664,4.14006024096386
"86","China",2020-04-16,83403,78401,3346,1656,16,4,2708,655,4.13435114503817
"87","China",2020-04-17,83760,77552,4636,1572,17,4,2903,692,4.19508670520231
"88","China",2020-04-18,83787,77614,4636,1537,18,4,2780,651,4.27035330261137
"89","China",2020-04-19,83805,77690,4636,1479,19,4,2981,598,4.98494983277592
"90","China",2020-04-20,83817,77745,4636,1436,20,4,2854,531,5.37476459510358
"91","China",2020-04-21,83853,77799,4636,1418,21,4,2722,580,4.69310344827586
"92","China",2020-04-22,83868,77861,4636,1371,22,4,2726,697,3.91104734576758
"93","China",2020-04-23,83884,77983,4636,1265,23,4,2773,705,3.93333333333333
"94","China",2020-04-24,83899,78109,4636,1154,24,4,2819,717,3.93165969316597
"95","China",2020-04-25,83909,78175,4636,1098,25,4,2738,743,3.68506056527591
"96",NA,2020-01-01,NA,NA,NA,NA,1,1,2616,2832,0.923728813559322
"97",NA,2020-01-02,NA,NA,NA,NA,2,1,2581,2759,0.935483870967742
"98",NA,2020-01-03,NA,NA,NA,NA,3,1,2528,2932,0.862210095497954
"99",NA,2020-01-04,NA,NA,NA,NA,4,1,2538,2802,0.905781584582441
"100",NA,2020-01-05,NA,NA,NA,NA,5,1,2523,2856,0.883403361344538
"101",NA,2020-01-06,NA,NA,NA,NA,6,1,2521,2814,0.895877754086709
"102",NA,2020-01-07,NA,NA,NA,NA,7,1,2407,2826,0.8517338995046
"103",NA,2020-01-08,NA,NA,NA,NA,8,1,2400,2849,0.842400842400842
"104",NA,2020-01-09,NA,NA,NA,NA,9,1,2470,2844,0.868495077355837
"105",NA,2020-01-10,NA,NA,NA,NA,10,1,2423,2998,0.808205470313542
"106",NA,2020-01-11,NA,NA,NA,NA,11,1,2581,2767,0.932779183230936
"107",NA,2020-01-12,NA,NA,NA,NA,12,1,2479,2764,0.896888567293777
"108",NA,2020-01-13,NA,NA,NA,NA,13,1,2553,2877,0.887382690302398
"109",NA,2020-01-14,NA,NA,NA,NA,14,1,2615,2895,0.903281519861831
"110",NA,2020-01-15,NA,NA,NA,NA,15,1,2646,2990,0.88494983277592
"111",NA,2020-01-16,NA,NA,NA,NA,16,1,2715,2987,0.908938734516237
"112",NA,2020-01-17,NA,NA,NA,NA,17,1,2712,3176,0.853904282115869
"113",NA,2020-01-18,NA,NA,NA,NA,18,1,2908,3066,0.948467058056099
"114",NA,2020-01-19,NA,NA,NA,NA,19,1,2767,3037,0.911096476786302
"115",NA,2020-01-20,NA,NA,NA,NA,20,1,2772,3009,0.92123629112662
"116",NA,2020-01-21,NA,NA,NA,NA,21,1,2727,3090,0.88252427184466
