"Location","PASFR","Births"
"Denmark",0.03,0.07
"Denmark",0.039,0.097
"Denmark",0.042,0.085
"Denmark",0.043,0.141
"Denmark",0.056,0.163
"Denmark",0.06,0.2
"Denmark",0.07,0.223
"India",0.084,NA
"India",0.085,NA
"India",0.089,NA
"India",0.096,NA
"Denmark",0.097,0.347
"Denmark",0.101,0.349
"India",0.108,NA
"Denmark",0.124,0.486
"India",0.126,NA
"India",0.134,NA
"India",0.137,NA
"India",0.138,NA
"India",0.144,NA
"India",0.148,NA
"India",0.149,NA
"India",0.16,NA
"India",0.17,NA
"Denmark",0.175,0.625
"India",0.175,NA
"Denmark",0.177,0.691
"India",0.177,NA
"India",0.181,NA
"India",0.183,NA
"India",0.186,NA
"India",0.187,NA
"India",0.187,NA
"India",0.188,NA
"India",0.19,NA
"India",0.192,NA
"India",0.199,NA
"India",0.199,NA
"Denmark",0.206,0.771
"Denmark",0.209,0.735
"India",0.21,NA
"India",0.211,NA
"India",0.214,73.627
"India",0.214,147.336
"India",0.214,161.059
"India",0.214,167.099
"India",0.214,242.605
"India",0.214,248.63
"India",0.214,254.964
"India",0.214,271.792
"India",0.214,293.187
"India",0.214,NA
"India",0.223,85.22
"India",0.223,160.227
"India",0.223,173.359
"India",0.223,179.324
"India",0.223,251.894
"India",0.223,257.758
"India",0.223,263.927
"India",0.223,278.884
"India",0.223,297.217
"India",0.223,NA
"India",0.224,NA
"India",0.224,NA
"India",0.224,NA
"India",0.228,NA
"India",0.232,96.345
"India",0.232,175.297
"India",0.232,187.986
"India",0.232,193.87
"India",0.232,264.962
"India",0.232,271.586
"India",0.232,277.289
"India",0.232,291.233
"India",0.232,310.958
"India",0.232,NA
"India",0.235,NA
"India",0.237,NA
"India",0.24,NA
"India",0.24,NA
"India",0.24,NA
"India",0.241,106.68
"India",0.241,191.981
"India",0.241,204.256
"India",0.241,210.003
"India",0.241,280.753
"India",0.241,288.429
"India",0.241,293.517
"India",0.241,306.862
"India",0.241,333.135
"India",0.241,NA
"India",0.241,NA
"India",0.243,NA
"India",0.247,NA
"India",0.248,NA
"India",0.251,120.565
"India",0.251,208.844
"India",0.251,220.411
"India",0.251,225.933
"India",0.251,294.554
"India",0.251,303.162
"India",0.251,307.487
"India",0.251,319.958
"India",0.251,349.533
"India",0.251,NA
"Denmark",0.253,0.471
"Denmark",0.253,0.483
"Denmark",0.253,0.492
"Denmark",0.253,0.5
"Denmark",0.253,0.52
"Denmark",0.253,0.551
"Denmark",0.253,0.552
"Denmark",0.253,0.586
"Denmark",0.253,0.594
"Denmark",0.253,0.596
"Denmark",0.253,0.6
"Denmark",0.253,0.604
"Denmark",0.253,0.611
"Denmark",0.253,0.622
"Denmark",0.253,0.629
"Denmark",0.253,0.634
"Denmark",0.253,0.643
"Denmark",0.253,0.654
"Denmark",0.253,0.666
"Denmark",0.253,0.666
"Denmark",0.253,0.687
"Denmark",0.253,0.69
"Denmark",0.253,0.694
"Denmark",0.253,0.703
"Denmark",0.253,0.712
"Denmark",0.253,0.742
"Denmark",0.253,0.743
"Denmark",0.253,0.756
"Denmark",0.253,0.756
"Denmark",0.253,0.758
"Denmark",0.253,0.759
"Denmark",0.253,0.76
"Denmark",0.253,0.761
"Denmark",0.253,0.765
"Denmark",0.253,0.766
"Denmark",0.253,0.766
"Denmark",0.253,0.767
"Denmark",0.253,0.783
"Denmark",0.253,0.796
"Denmark",0.253,0.805
"Denmark",0.253,0.81
"Denmark",0.253,0.813
"Denmark",0.253,0.821
"Denmark",0.253,0.825
"Denmark",0.253,0.825
"Denmark",0.253,0.825
"Denmark",0.253,0.826
"Denmark",0.253,0.826
"Denmark",0.253,0.827
"Denmark",0.253,0.829
"Denmark",0.253,0.829
"Denmark",0.253,0.831
"Denmark",0.253,0.832
"Denmark",0.253,0.837
"Denmark",0.253,0.838
"Denmark",0.253,0.842
"Denmark",0.253,0.843
"Denmark",0.253,0.843
"Denmark",0.253,0.844
"Denmark",0.253,0.845
"Denmark",0.253,0.847
"Denmark",0.253,0.847
"Denmark",0.253,0.851
"Denmark",0.253,0.852
"Denmark",0.253,0.853
"Denmark",0.253,0.854
"Denmark",0.253,0.857
"Denmark",0.253,0.857
"Denmark",0.253,0.859
"Denmark",0.253,0.86
"Denmark",0.253,0.862
"Denmark",0.253,0.862
"Denmark",0.253,0.862
"Denmark",0.253,0.863
"Denmark",0.253,0.863
"Denmark",0.253,0.865
"Denmark",0.253,0.867
"Denmark",0.253,0.867
"Denmark",0.253,0.87
"Denmark",0.253,0.872
"Denmark",0.253,0.873
"Denmark",0.253,0.873
"Denmark",0.253,0.874
"Denmark",0.253,0.874
