"title,""price"",""link"""
"Круг алмазный тарельчатый конический 12A2-20 Ф 150 х 18 х 10 х 2 х 32 АС4 80/63 100% В2-01 39 карат (Полтава),""456,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-konicheskij-12a2-20-f-150-h-18-h-10-h-2-h-32-as4-80-63-100-v2-01-39-karat-poltava.html"""
"Круг алмазный тарельчатый конический 12A2-20 Ф 75 х 6 х 16 х 2 АС2 100/80 100% В2-01,""144,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-konicheskij-12a2-20-f-75-h-6-h-16-h-2-as2-100-80-100-v2-01.html"""
"Круг алмазный тарельчатый конический 12A2-20 Ф 150 х 18 х 10 х 2 х 32 АС4 100/80 100% В2-01 39 карат (Полтава),""456,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-konicheskij-12a2-20-f-150-h-18-h-10-h-2-h-32-as4-100-80-100-v2-01-39-karat-poltava.html"""
"Круг алмазный тарельчатый конический 12A2-20 Ф 150 х 18 х 10 х 2 х 32 АС4 100/80 В2-01 Базис (Полтава),""456,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-konicheskij-12a2-20-f-150-h-18-h-10-h-2-h-32-as4-10080-v2-01-bazis-poltava.html"""
"Круг алмазный тарельчатый конический 12A2-20 Ф 150 х 18 х 10 х 2 х 32 АС4 125/100 В2-01 Базис (Полтава),""372,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-konicheskij-12a2-20-f-150-h-18-h-10-h-2-h-32-as4-125100-v2-01-bazis-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 75х3х3х21х16 АСМ 28/20 100% В2-01,""180,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-75h3h3h21h16-asm-28-20-100-v2-01.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 75х3х3х21х16 АСМ 80/63 100% В2-01,""180,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-75h3h3h21h16-asm-80-63-100-v2-01.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 75х6х3х21х16 АСМ 50/40 100% В2-01,""216,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-75h6h3h21h16-asm-50-40-100-v2-01.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 75х6х3х21х16 АСМ 80/63 100% В2-01,""216,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-75h6h3h21h16-asm-80-63-100-v2-01.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 100х5х3х32х20 АСМ 100/80 100% В1,""216,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-100h5h3h32h20-asm-100-80-100-v1.html"""
